geometry,town,city,state,country
POINT (-66.66 45.94),,Fredericton,New Brunswick / Nouveau-Brunswick,Canada
POINT (-117.33 33.97),,Riverside,California,United States
POINT (-113.45 53.52),,Edmonton,Alberta,Canada
POINT (-122.17 37.42),,,California,United States
POINT (-123.23 44.04),,,Oregon,United States
POINT (-122.2 47.8),Bothell,,Washington,United States
POINT (-71.06 42.37),,Boston,Massachusetts,United States
POINT (-117.12 32.74),,San Diego,California,United States
POINT (-121.91 37.72),Dublin,,California,United States
POINT (-111.9 40.61),Midvale,,Utah,United States
POINT (-114.06 50.94),,Calgary,Alberta,Canada
POINT (-105.27 40.01),,Boulder,Colorado,United States
POINT (-117.96 33.72),Fountain Valley,,California,United States
POINT (-113.27 53.57),,Sherwood Park,Alberta,Canada
POINT (-113.55 53.26),,Leduc,Alberta,Canada
POINT (5.58 50.18),,,Luxembourg,België / Belgique / Belgien
POINT (-122.48 47.25),,Tacoma,Washington,United States
POINT (-114.09 51.04),,Calgary,Alberta,Canada
POINT (-114.13 50.92),,Calgary,Alberta,Canada
POINT (-122.69 45.59),,Portland,Oregon,United States
POINT (-113.54 53.48),,Edmonton,Alberta,Canada
POINT (-114.11 51.07),,Calgary,Alberta,Canada
POINT (-71.1 42.36),,Cambridge,Massachusetts,United States
POINT (-105.21 40),,Boulder,Colorado,United States
POINT (-113.53 53.53),,Edmonton,Alberta,Canada
POINT (-81.09 40.57),Carrollton,,Ohio,United States
POINT (-110.82 32.22),,Tucson,Arizona,United States
POINT (-113.5 53.48),,Edmonton,Alberta,Canada
POINT (-114.08 50.99),,Calgary,Alberta,Canada
POINT (-122.35 47.63),,Seattle,Washington,United States
POINT (-122.33 47.61),,Seattle,Washington,United States
POINT (-98.5 29.4),,San Antonio,Texas,United States
POINT (-122.48 37.76),,San Francisco,California,United States
POINT (-111.86 40.57),,,Utah,United States
POINT (-113.5 53.47),,Edmonton,Alberta,Canada
POINT (-119.84 39.54),,Reno,Nevada,United States
POINT (-71.01 42.27),,Quincy,Massachusetts,United States
POINT (-74.18 40.6),,New York,New York,United States
POINT (-114.07 51.08),,Calgary,Alberta,Canada
POINT (-83.71 42.27),,Ann Arbor,Michigan,United States
POINT (-114.11 51.03),,Calgary,Alberta,Canada
POINT (-118.35 33.89),Lawndale,,California,United States
POINT (-89.65 21.03),,Mérida,Yucatán,México
POINT (-113.95 51.09),,Calgary,Alberta,Canada
POINT (-121.74 38.54),,,California,United States
POINT (-117.83 33.66),,Irvine,California,United States
POINT (-113.54 53.52),,Edmonton,Alberta,Canada
POINT (-113.49 53.47),,Edmonton,Alberta,Canada
POINT (-78.89 42.92),,Buffalo,New York,United States
POINT (172.85 -43.52),,,Canterbury,New Zealand/Aotearoa
POINT (-114.01 50.95),,Calgary,Alberta,Canada
POINT (-122.4 37.79),,San Francisco,California,United States
POINT (-122.27 37.88),,Berkeley,California,United States
POINT (-104.61 38.25),,Pueblo,Colorado,United States
POINT (-122.3 47.58),,Seattle,Washington,United States
POINT (-110.95 32.23),,Tucson,Arizona,United States
POINT (-94.7 39.02),Merriam,,Kansas,United States
POINT (-113.42 53.57),,Edmonton,Alberta,Canada
POINT (-86.15 39.77),,Indianapolis,Indiana,United States
POINT (-122.35 47.55),,Seattle,Washington,United States
POINT (-82.68 27.79),,Saint Petersburg,Florida,United States
POINT (-93.23 44.9),,Minneapolis,Minnesota,United States
POINT (-122.48 48.75),,Bellingham,Washington,United States
POINT (-97.74 30.27),,Austin,Texas,United States
POINT (-122.29 47.63),,Seattle,Washington,United States
